transaction_id,account_id,amount,currency,transaction_date,transaction_time,status,transaction_type,merchant_id,merchant_name,payment_method,country
TXN-00000000,ACC-1915,999999.99,GBP,2023-01-01,00:00:00,failed,purchase,MERCH-534,PayPal,credit_card,GB
TXN-00000001,ACC-1872,263.56,USD,2023-01-01,03:00:00,completed,purchase,MERCH-447,Amazon,bank_transfer,GB
TXN-00000002,ACC-1769,275.7,GBP,2023-01-01,06:00:00,completed,purchase,MERCH-348,Netflix,credit_card,GB
TXN-00000003,ACC-8123,116.56,USD,2023-01-01,09:00:00,completed,transfer,MERCH-316,Stripe,bank_transfer,GB
TXN-00000004,ACC-3800,163.57,USD,2023-01-01,12:00:00,completed,purchase,MERCH-552,Apple,wallet,IN
TXN-00000005,ACC-3940,144.19,USD,2027-06-15,15:00:00,completed,purchase,MERCH-438,Netflix,credit_card,IN
TXN-00000006,ACC-1112,1072.62,USD,2023-01-01,18:00:00,completed,refund,MERCH-364,Amazon,credit_card,DE
TXN-00000007,ACC-9752,434.75,USD,2023-01-01,21:00:00,completed,purchase,MERCH-471,Stripe,wallet,GB
TXN-00000008,ACC-4905,537.28,GBP,2023-01-02,00:00:00,completed,refund,MERCH-408,Airbnb,credit_card,AU
TXN-00000009,ACC-8176,75.08,USD,2023-01-02,03:00:00,completed,purchase,MERCH-305,Stripe,bank_transfer,IN
TXN-00000010,ACC-7368,605.22,EUR,2023-01-02,06:00:00,completed,purchase,MERCH-507,Stripe,bank_transfer,DE
TXN-00000011,ACC-2275,203.61,,2023-01-02,09:00:00,completed,purchase,MERCH-947,Apple,debit_card,US
TXN-00000012,ACC-8211,52.15,GBP,2023-01-02,12:00:00,completed,purchase,MERCH-554,Amazon,wallet,US
TXN-00000013,ACC-5952,358.9,GBP,2023-01-02,15:00:00,completed,refund,MERCH-637,Apple,wallet,IN
TXN-00000014,ACC-6438,55.83,USD,2023-01-02,18:00:00,completed,refund,MERCH-984,Walmart,debit_card,GB
TXN-00000015,ACC-2802,211.42,EUR,2023-01-02,21:00:00,completed,withdrawal,MERCH-651,Uber,credit_card,IN
TXN-00000016,ACC-8621,46.17,INR,2023-01-03,00:00:00,completed,purchase,MERCH-300,Walmart,credit_card,US
TXN-00000017,ACC-9384,275.86,GBP,2023-01-03,03:00:00,failed,refund,MERCH-458,PayPal,credit_card,IN
TXN-00000018,ACC-4658,79.1,USD,2023-01-03,06:00:00,completed,purchase,MERCH-538,Uber,wallet,DE
TXN-00000019,ACC-1832,84.35,USD,2023-01-03,09:00:00,completed,transfer,MERCH-526,Apple,bank_transfer,DE
TXN-00000020,ACC-8638,56.79,GBP,2023-01-03,12:00:00,completed,purchase,MERCH-234,PayPal,bank_transfer,GB
TXN-00000021,ACC-8985,14.77,USD,2023-01-03,15:00:00,completed,transfer,MERCH-195,Stripe,credit_card,GB
TXN-00000022,ACC-5557,46.89,GBP,2023-01-03,18:00:00,completed,purchase,MERCH-414,Netflix,wallet,IN
TXN-00000023,ACC-6211,521.61,USD,2023-01-03,21:00:00,completed,purchase,MERCH-921,Walmart,bank_transfer,IN
TXN-00000024,ACC-3007,165.18,GBP,2023-01-04,00:00:00,pending,purchase,MERCH-744,Apple,wallet,DE
TXN-00000025,ACC-1607,626.02,USD,2023-01-04,03:00:00,completed,purchase,MERCH-856,Uber,debit_card,GB
TXN-00000026,ACC-9496,934.6,USD,2023-01-04,06:00:00,completed,purchase,MERCH-256,Stripe,bank_transfer,DE
TXN-00000027,ACC-5346,1013.08,AUD,2023-01-04,09:00:00,completed,withdrawal,MERCH-472,Apple,bank_transfer,AU
TXN-00000028,ACC-3474,25.55,INR,2023-01-04,12:00:00,completed,purchase,MERCH-622,Airbnb,debit_card,GB
TXN-00000029,ACC-7238,274.18,INR,2023-01-04,15:00:00,completed,purchase,MERCH-490,Apple,bank_transfer,AU
TXN-00000030,ACC-1235,37.42,AUD,2023-01-04,18:00:00,completed,purchase,MERCH-474,Walmart,debit_card,GB
TXN-00000031,ACC-1719,743.65,USD,2023-01-04,21:00:00,failed,purchase,MERCH-423,Netflix,wallet,GB
TXN-00000032,ACC-3183,531.41,USD,2023-01-05,00:00:00,completed,purchase,MERCH-146,Walmart,bank_transfer,DE
TXN-00000033,ACC-5055,157.06,USD,2023-01-05,03:00:00,completed,transfer,MERCH-870,Netflix,bank_transfer,DE
TXN-00000034,ACC-4299,172.07,USD,2023-01-05,06:00:00,completed,withdrawal,MERCH-938,Apple,bank_transfer,IN
TXN-00000035,ACC-2685,284.21,USD,2023-01-05,09:00:00,completed,purchase,MERCH-172,Apple,debit_card,GB
TXN-00000036,ACC-4161,410.21,INR,2023-01-05,12:00:00,failed,purchase,MERCH-471,Stripe,wallet,US
TXN-00000037,ACC-4004,650.83,USD,2023-01-05,15:00:00,completed,purchase,MERCH-565,Apple,credit_card,AU
TXN-00000038,ACC-5721,40.54,USD,2023-01-05,18:00:00,completed,transfer,MERCH-804,Airbnb,bank_transfer,AU
TXN-00000039,ACC-6064,288.29,USD,2023-01-05,21:00:00,completed,purchase,MERCH-987,Airbnb,credit_card,AU
TXN-00000040,ACC-8947,167.71,USD,2023-01-06,00:00:00,failed,purchase,MERCH-474,Airbnb,debit_card,IN
TXN-00000041,ACC-8260,111.83,USD,2023-01-06,03:00:00,completed,withdrawal,MERCH-773,Apple,bank_transfer,AU
TXN-00000042,ACC-3630,430.56,EUR,2023-01-06,06:00:00,completed,transfer,MERCH-942,Stripe,debit_card,IN
TXN-00000043,ACC-9123,179.87,USD,2023-01-06,09:00:00,pending,purchase,MERCH-846,Walmart,wallet,US
TXN-00000044,ACC-5686,494.56,EUR,2023-01-06,12:00:00,completed,purchase,MERCH-361,Apple,bank_transfer,US
TXN-00000045,ACC-2688,613.27,INR,2023-01-06,15:00:00,completed,purchase,MERCH-834,Stripe,debit_card,GB
TXN-00000046,ACC-4060,165.67,EUR,2023-01-06,18:00:00,completed,purchase,MERCH-470,Apple,debit_card,GB
TXN-00000047,ACC-7675,5.94,EUR,2023-01-06,21:00:00,completed,purchase,MERCH-115,Airbnb,bank_transfer,AU
TXN-00000048,ACC-8395,1233.98,USD,2023-01-07,00:00:00,completed,purchase,MERCH-782,Amazon,wallet,GB
TXN-00000049,ACC-4366,427.93,USD,2023-01-07,03:00:00,pending,purchase,MERCH-851,Uber,debit_card,DE
TXN-00000050,ACC-2418,794.75,USD,2023-01-07,06:00:00,completed,purchase,MERCH-408,Stripe,bank_transfer,GB
TXN-00000051,ACC-2726,33.2,AUD,2023-01-07,09:00:00,completed,purchase,MERCH-505,Airbnb,bank_transfer,DE
TXN-00000052,ACC-1931,48.77,EUR,2023-01-07,12:00:00,failed,purchase,MERCH-427,Uber,credit_card,IN
TXN-00000053,ACC-7287,21.57,USD,2023-01-07,15:00:00,pending,transfer,MERCH-205,Stripe,wallet,US
TXN-00000054,ACC-5526,86.01,USD,2023-01-07,18:00:00,pending,purchase,MERCH-994,Apple,bank_transfer,IN
TXN-00000055,ACC-5060,3.09,GBP,2023-01-07,21:00:00,completed,transfer,MERCH-120,Netflix,credit_card,US
TXN-00000056,ACC-7046,734.06,EUR,2023-01-08,00:00:00,refunded,purchase,MERCH-599,Amazon,bank_transfer,AU
TXN-00000057,ACC-8457,-132.2,EUR,2023-01-08,03:00:00,completed,purchase,MERCH-113,Airbnb,bank_transfer,DE
TXN-00000058,ACC-8158,559.39,INR,2023-01-08,06:00:00,completed,refund,MERCH-719,Airbnb,wallet,AU
TXN-00000059,ACC-2234,625.33,EUR,2023-01-08,09:00:00,completed,purchase,MERCH-909,Stripe,credit_card,AU
TXN-00000060,ACC-6306,620.3,EUR,2023-01-08,12:00:00,pending,purchase,MERCH-678,Airbnb,debit_card,GB
TXN-00000061,ACC-8941,232.02,USD,2023-01-08,15:00:00,failed,purchase,MERCH-644,Walmart,credit_card,DE
TXN-00000062,ACC-7963,1232.24,USD,2023-01-08,18:00:00,completed,purchase,MERCH-844,Airbnb,bank_transfer,US
TXN-00000063,ACC-3964,775.62,AUD,2023-01-08,21:00:00,completed,purchase,MERCH-975,Stripe,bank_transfer,AU
TXN-00000064,ACC-4533,1117.88,EUR,2023-01-09,00:00:00,completed,purchase,MERCH-874,Walmart,debit_card,DE
TXN-00000065,ACC-9010,309.91,USD,2023-01-09,03:00:00,completed,purchase,MERCH-308,Netflix,wallet,DE
TXN-00000066,ACC-1295,715.2,EUR,2023-01-09,06:00:00,completed,purchase,MERCH-606,PayPal,bank_transfer,AU
TXN-00000067,ACC-5728,214.78,,2023-01-09,09:00:00,completed,purchase,MERCH-836,Netflix,debit_card,AU
TXN-00000068,ACC-2044,463.25,GBP,2023-01-09,12:00:00,completed,purchase,MERCH-364,Stripe,credit_card,AU
TXN-00000069,ACC-9050,420.91,USD,2023-01-09,15:00:00,pending,purchase,MERCH-707,Uber,debit_card,US
TXN-00000070,ACC-1348,26.0,GBP,2023-01-09,18:00:00,completed,purchase,MERCH-120,Airbnb,wallet,US
TXN-00000071,ACC-1210,78.76,USD,2023-01-09,21:00:00,pending,purchase,MERCH-888,Airbnb,debit_card,AU
TXN-00000072,ACC-3960,542.25,USD,2023-01-10,00:00:00,completed,purchase,MERCH-652,Airbnb,wallet,GB
TXN-00000073,ACC-2801,9.22,USD,2023-01-10,03:00:00,completed,purchase,MERCH-768,Stripe,bank_transfer,IN
TXN-00000074,ACC-5458,512.68,GBP,2023-01-10,06:00:00,completed,purchase,MERCH-842,PayPal,bank_transfer,US
TXN-00000075,ACC-3695,308.8,USD,2023-01-10,09:00:00,completed,purchase,MERCH-296,Apple,debit_card,DE
TXN-00000076,ACC-4206,1646.43,USD,2023-01-10,12:00:00,completed,purchase,MERCH-505,PayPal,bank_transfer,AU
TXN-00000077,ACC-6083,12.04,GBP,2023-01-10,15:00:00,completed,withdrawal,MERCH-871,Airbnb,credit_card,AU
TXN-00000078,ACC-6044,253.24,USD,2023-01-10,18:00:00,completed,transfer,MERCH-248,Uber,credit_card,IN
TXN-00000079,ACC-9413,1112.0,USD,2023-01-10,21:00:00,completed,purchase,MERCH-839,Apple,debit_card,DE
TXN-00000080,ACC-5325,3.05,USD,2023-01-11,00:00:00,completed,purchase,MERCH-358,Netflix,bank_transfer,IN
TXN-00000081,ACC-6077,372.71,INR,2023-01-11,03:00:00,completed,purchase,MERCH-617,Airbnb,bank_transfer,IN
TXN-00000082,ACC-7100,151.33,USD,2023-01-11,06:00:00,completed,refund,MERCH-558,Apple,debit_card,IN
TXN-00000083,ACC-2567,101.69,USD,2023-01-11,09:00:00,completed,refund,MERCH-717,Apple,debit_card,AU
TXN-00000084,ACC-7001,474.61,USD,2023-01-11,12:00:00,completed,purchase,MERCH-852,Stripe,bank_transfer,GB
TXN-00000085,ACC-8756,219.12,USD,2023-01-11,15:00:00,completed,purchase,MERCH-413,Netflix,bank_transfer,IN
TXN-00000086,ACC-3862,297.84,USD,2023-01-11,18:00:00,completed,purchase,MERCH-254,Airbnb,credit_card,DE
TXN-00000087,ACC-2604,0.07,USD,2023-01-11,21:00:00,completed,transfer,MERCH-480,Amazon,debit_card,IN
TXN-00000088,ACC-4115,273.81,USD,2023-01-12,00:00:00,failed,transfer,MERCH-650,Amazon,bank_transfer,US
TXN-00000089,ACC-3475,27.94,USD,2023-01-12,03:00:00,completed,purchase,MERCH-774,Stripe,wallet,GB
TXN-00000090,ACC-6265,230.24,INR,2023-01-12,06:00:00,completed,purchase,MERCH-777,Walmart,debit_card,DE
TXN-00000091,ACC-8772,31.39,USD,2023-01-12,09:00:00,completed,purchase,MERCH-405,Stripe,wallet,DE
TXN-00000092,ACC-6367,385.21,USD,2023-01-12,12:00:00,completed,purchase,MERCH-941,PayPal,bank_transfer,DE
TXN-00000093,ACC-2129,66.25,INR,2023-01-12,15:00:00,completed,transfer,MERCH-174,Netflix,debit_card,AU
TXN-00000094,ACC-3831,9.51,INR,2023-01-12,18:00:00,pending,purchase,MERCH-204,PayPal,bank_transfer,DE
TXN-00000095,ACC-7203,597.07,EUR,2023-01-12,21:00:00,completed,purchase,MERCH-122,Netflix,wallet,IN
TXN-00000096,ACC-3972,85.51,USD,2023-01-13,00:00:00,completed,purchase,MERCH-932,PayPal,credit_card,GB
TXN-00000097,ACC-6276,2.84,USD,2023-01-13,03:00:00,completed,purchase,MERCH-261,Walmart,credit_card,GB
TXN-00000098,ACC-7245,418.52,USD,2023-01-13,06:00:00,completed,refund,MERCH-640,Netflix,debit_card,AU
TXN-00000099,ACC-3962,261.08,USD,2023-01-13,09:00:00,completed,purchase,MERCH-830,Netflix,credit_card,IN
TXN-00000100,ACC-6826,330.68,USD,2023-01-13,12:00:00,completed,transfer,MERCH-789,Stripe,wallet,DE
TXN-00000101,ACC-4582,718.76,EUR,2023-01-13,15:00:00,completed,purchase,MERCH-953,Amazon,wallet,US
TXN-00000102,ACC-2215,70.87,USD,2023-01-13,18:00:00,refunded,purchase,MERCH-148,Stripe,bank_transfer,US
TXN-00000103,ACC-4349,99.09,EUR,2023-01-13,21:00:00,completed,purchase,MERCH-465,Amazon,wallet,GB
TXN-00000104,ACC-4968,481.2,USD,2023-01-14,00:00:00,refunded,purchase,MERCH-555,Apple,credit_card,US
TXN-00000105,ACC-1021,158.52,USD,2023-01-14,03:00:00,completed,purchase,MERCH-725,Uber,bank_transfer,DE
TXN-00000106,ACC-9033,102.96,GBP,2023-01-14,06:00:00,pending,purchase,MERCH-659,Walmart,debit_card,DE
TXN-00000107,ACC-5750,586.33,INR,2023-01-14,09:00:00,completed,purchase,MERCH-603,Netflix,debit_card,IN
TXN-00000108,ACC-1326,151.24,USD,2023-01-14,12:00:00,completed,purchase,MERCH-375,PayPal,debit_card,GB
TXN-00000109,ACC-8811,145.84,EUR,2023-01-14,15:00:00,refunded,purchase,MERCH-195,Stripe,bank_transfer,IN
TXN-00000110,ACC-8695,1024.4,USD,2023-01-14,18:00:00,completed,purchase,MERCH-488,Amazon,bank_transfer,US
TXN-00000111,ACC-1108,5.86,,2023-01-14,21:00:00,pending,transfer,MERCH-333,Uber,credit_card,IN
TXN-00000112,ACC-2468,1051.39,EUR,2023-01-15,00:00:00,completed,transfer,MERCH-598,Uber,bank_transfer,US
TXN-00000113,ACC-4273,141.22,USD,2023-01-15,03:00:00,completed,purchase,MERCH-816,Amazon,wallet,US
TXN-00000114,ACC-5564,1145.05,USD,2023-01-15,06:00:00,completed,refund,MERCH-596,Airbnb,credit_card,US
TXN-00000115,ACC-7531,48.48,USD,2023-01-15,09:00:00,completed,purchase,MERCH-624,Uber,wallet,US
TXN-00000116,ACC-4818,300.29,USD,2023-01-15,12:00:00,failed,withdrawal,MERCH-137,Airbnb,bank_transfer,IN
TXN-00000117,ACC-6504,469.67,USD,2023-01-15,15:00:00,pending,purchase,MERCH-679,Apple,debit_card,IN
TXN-00000118,ACC-1091,487.19,USD,2023-01-15,18:00:00,completed,purchase,MERCH-495,Apple,bank_transfer,DE
TXN-00000119,ACC-6926,33.57,AUD,2023-01-15,21:00:00,completed,purchase,MERCH-211,Airbnb,bank_transfer,IN
TXN-00000120,ACC-9237,31.76,EUR,2023-01-16,00:00:00,completed,transfer,MERCH-292,Airbnb,wallet,US
TXN-00000121,ACC-5735,338.47,USD,2023-01-16,03:00:00,completed,purchase,MERCH-801,Walmart,credit_card,US
TXN-00000122,ACC-5093,33.51,USD,2023-01-16,06:00:00,completed,purchase,MERCH-924,Walmart,credit_card,DE
TXN-00000123,ACC-3673,563.83,EUR,2023-01-16,09:00:00,completed,purchase,MERCH-556,Uber,bank_transfer,AU
TXN-00000124,ACC-9587,657.49,USD,2023-01-16,12:00:00,completed,purchase,MERCH-977,Stripe,debit_card,GB
TXN-00000125,ACC-1298,53.54,USD,2023-01-16,15:00:00,pending,transfer,MERCH-261,Walmart,credit_card,GB
TXN-00000126,ACC-3580,513.06,GBP,2023-01-16,18:00:00,completed,purchase,MERCH-369,Walmart,debit_card,GB
TXN-00000127,ACC-2248,17.46,USD,2023-01-16,21:00:00,completed,purchase,MERCH-936,Stripe,bank_transfer,GB
TXN-00000128,ACC-8795,1098.83,USD,2023-01-17,00:00:00,completed,purchase,MERCH-257,Airbnb,credit_card,GB
TXN-00000129,ACC-5342,258.11,USD,2023-01-17,03:00:00,pending,purchase,MERCH-692,PayPal,wallet,IN
TXN-00000130,ACC-9300,460.96,USD,2023-01-17,06:00:00,completed,purchase,MERCH-297,Stripe,debit_card,DE
TXN-00000131,ACC-6985,456.15,USD,2023-01-17,09:00:00,completed,refund,MERCH-397,PayPal,credit_card,DE
TXN-00000132,ACC-6010,374.9,INR,2023-01-17,12:00:00,completed,withdrawal,MERCH-529,Walmart,credit_card,AU
TXN-00000133,ACC-5656,312.15,USD,2023-01-17,15:00:00,pending,purchase,MERCH-423,Apple,wallet,GB
TXN-00000134,ACC-2823,9.98,EUR,2023-01-17,18:00:00,completed,purchase,MERCH-886,Walmart,credit_card,IN
TXN-00000135,ACC-6057,703.41,EUR,2023-01-17,21:00:00,completed,purchase,MERCH-974,Amazon,debit_card,GB
TXN-00000136,ACC-7166,322.89,USD,2023-01-18,00:00:00,completed,purchase,MERCH-549,Stripe,bank_transfer,US
TXN-00000137,ACC-9687,100.25,USD,2023-01-18,03:00:00,completed,purchase,MERCH-572,Airbnb,bank_transfer,GB
TXN-00000138,ACC-5940,148.01,USD,2023-01-18,06:00:00,completed,purchase,MERCH-149,Amazon,debit_card,GB
TXN-00000139,ACC-9448,157.2,EUR,2023-01-18,09:00:00,completed,purchase,MERCH-310,Walmart,credit_card,IN
TXN-00000140,ACC-9499,23.36,USD,2023-01-18,12:00:00,completed,purchase,MERCH-135,Walmart,bank_transfer,US
TXN-00000141,ACC-5702,73.06,EUR,2023-01-18,15:00:00,completed,purchase,MERCH-870,Netflix,debit_card,DE
TXN-00000142,ACC-4953,7.1,INR,2023-01-18,18:00:00,completed,refund,MERCH-304,Netflix,credit_card,AU
TXN-00000143,ACC-2284,313.24,,2023-01-18,21:00:00,completed,purchase,MERCH-406,Apple,credit_card,AU
TXN-00000144,ACC-3416,187.85,AUD,2023-01-19,00:00:00,completed,purchase,MERCH-857,PayPal,bank_transfer,US
TXN-00000145,ACC-8910,1118.88,GBP,2023-01-19,03:00:00,completed,transfer,MERCH-741,Walmart,credit_card,US
TXN-00000146,ACC-2244,94.94,INR,2023-01-19,06:00:00,completed,purchase,MERCH-658,Uber,debit_card,AU
TXN-00000147,ACC-4573,300.15,GBP,2023-01-19,09:00:00,completed,purchase,MERCH-134,Netflix,credit_card,AU
TXN-00000148,ACC-7287,24.17,EUR,2023-01-19,12:00:00,completed,purchase,MERCH-606,Netflix,wallet,IN
TXN-00000149,ACC-3165,126.07,GBP,2023-01-19,15:00:00,completed,purchase,MERCH-604,Stripe,bank_transfer,GB
TXN-00000150,ACC-9766,331.37,INR,2023-01-19,18:00:00,refunded,purchase,MERCH-386,PayPal,wallet,IN
TXN-00000151,ACC-6844,1060.57,USD,2023-01-19,21:00:00,completed,purchase,MERCH-769,Amazon,credit_card,IN
TXN-00000152,ACC-1255,1144.08,EUR,2023-01-20,00:00:00,completed,purchase,MERCH-935,Netflix,debit_card,AU
TXN-00000153,ACC-3224,17.44,USD,2023-01-20,03:00:00,completed,purchase,MERCH-332,Amazon,debit_card,IN
TXN-00000154,ACC-7663,340.19,INR,2023-01-20,06:00:00,completed,purchase,MERCH-397,Netflix,bank_transfer,US
TXN-00000155,ACC-8767,88.45,USD,2023-01-20,09:00:00,completed,purchase,MERCH-389,Uber,wallet,DE
TXN-00000156,ACC-9341,731.9,GBP,2023-01-20,12:00:00,completed,purchase,MERCH-850,Netflix,credit_card,DE
TXN-00000157,ACC-8659,468.51,GBP,2023-01-20,15:00:00,pending,purchase,MERCH-169,Apple,wallet,GB
TXN-00000158,ACC-1672,82.34,AUD,2023-01-20,18:00:00,completed,refund,MERCH-905,Apple,bank_transfer,US
TXN-00000159,ACC-7566,172.29,USD,2023-01-20,21:00:00,completed,purchase,MERCH-796,Apple,wallet,US
TXN-00000160,ACC-1991,2.75,EUR,2023-01-21,00:00:00,completed,purchase,MERCH-534,Apple,credit_card,AU
TXN-00000161,ACC-1688,181.94,GBP,2023-01-21,03:00:00,completed,purchase,MERCH-624,Apple,wallet,IN
TXN-00000162,ACC-7226,276.43,INR,2023-01-21,06:00:00,refunded,purchase,MERCH-903,Airbnb,debit_card,IN
TXN-00000163,ACC-5303,226.01,INR,2023-01-21,09:00:00,completed,transfer,MERCH-792,Amazon,debit_card,AU
